food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
japanese soba noodles cooked,113,0.1,0.026,0.085,0.007,24.4,0,5.8,0,0,0.1,83.2,0,0.1,0.097,0,0,0,0,4.6,0.5,35.4,
rice noodles cooked,190,0.4,0.072,0.007,0.021,42.3,0.052,3.2,1.8,0,0.075,129.9,0,0.002,0.011,0,0,0,0,7,0.2,54.9,
whole wheat macaroni cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,3.9,0,0.057,94,0,0.2,0.087,0,0,0.4,0.061,21,1.5,71.9,
spaghetti cooked,363,2.1,0.4,0.3,0.7,71,1.3,13.3,4.1,0,0.089,142.9,0,0,0,0.1,0,0,0.1,0,0.2,90.8,
whole wheat spaghetti cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,6.3,0,0.091,94,0,0.2,0.043,0,0,0.4,0.083,21,1.5,74.3,
waffle,218,10.6,2.1,2.6,5.1,24.7,0,5.9,0,51.8,0.4,31.5,0.069,0.2,0.3,0.3,0,0,0,191.3,1.7,234.547,
baked taco shell,61,2.7,0.8,0.8,0.9,8.3,0.2,0.8,0.9,0,0.004,0.8,0,0.09,0.048,0,0,0.094,0.069,12.5,0.2,25.4,
puff pastry,1367,94.3,13.5,21.6,54.5,112,1.8,18.1,3.7,0,0.6,18.1,0,0.8,0.6,0,0,1.3,0.03,24.5,6.4,259,
blueberry muffin,214,9.2,1.6,2.7,4.6,30.2,17.9,2.6,0.6,17.1,0.2,14.2,0.1,0.095,0.094,0.034,0.5,0.065,0.9,0.054,0.063,42.915,
bread crumbs,427,5.7,1.3,1.1,2.2,77.7,6.7,14.4,4.9,0,0.8,7,0,1,0.4,0,0,0.011,0.005,197.6,5.2,305.5,
warm cinnamon roll mcdonalds,113,5.1,1.3,2.6,0.8,15,7,2,0.5,16.4,0.1,5.8,0.06,0.05,0.059,0,0,0.5,0,16.1,0.5,39.264,
corn muffin,201,5.5,0.9,1.4,2.1,33.7,11.7,3.9,2.2,17.2,0.3,21.5,0.01,0.2,0.2,0,0,0.5,0.035,48.8,1.9,96.069,
tortilla,467,1.9,0.6,0.4,0.8,98.4,5.4,14.3,4.7,0,0.9,78.7,0,0.7,0.2,0,0,0.4,0.028,137.9,7.5,264.7,
croutons seasoned,186,7.3,2.1,3.8,0.9,25.4,1.8,4.3,2,2.8,0.4,1.4,0.029,0.2,0.2,0,0,0.2,0.069,38.4,1.1,78.5,
buttermilk waffle,102,3.1,0.8,1.7,0.5,16,1.5,2.4,0.9,4.3,0.2,10.4,0.1,0.2,0.2,0,0,0.2,0.043,98.7,2.2,123.4,
flour tortilla,146,3.7,0.6,1.9,1.1,24.1,1.3,3.9,1.2,0,0.4,15.9,0,0.2,0.093,0,0,0.4,0.095,79.9,1.6,114.4,
glazed donut,55,3,1.2,0.9,0.5,6.2,3,0.8,0.3,3.9,0.082,2.9,0.098,0.002,0.061,0.2,0.016,0.2,0.025,13.1,0.3,23.931,
corn tortilla,52,0.7,0.1,0.2,0.3,10.7,0.2,1.4,1.5,0,0.075,11,0,0.075,0.028,0,0,0.038,0,19.4,0.3,34,
muffin,169,6.5,1.2,1.6,3.3,23.6,0,3.9,1.5,22.2,0.3,21.5,0.078,0.2,0.2,0.2,0,0,0,114,1.4,151.166,
croutons,33,0.5,0.1,0.2,0.1,5.9,0,1,0.4,0,0.035,0.4,0,0.047,0.078,0,0,0,0,6.1,0.3,14.2,
donut with jelly filling,289,15.9,4.1,8.7,2,33.2,17.9,5,0.8,22.1,0.4,30.3,0.044,0.3,0.1,0,0,0.4,0.012,21.3,1.5,77.736,
sweet cinnamon rolls,309,13.6,2.6,4,6.2,42.2,26.3,5.1,2,54.8,0.3,20.6,0.039,0.3,0.2,1.7,0,1.7,0.088,59.8,1.3,125.783,
oat bran muffin,46,1.3,0.2,0.3,0.7,8.2,1.4,1.2,0.8,0,0.067,6,0,0.028,0.049,0,0,0.1,0.035,10.7,0.7,22.9,
french cruller donut,169,7.5,1.9,4.3,0.9,24.4,14.4,1.3,0.5,4.5,0.1,7.3,0.002,0.005,0.057,0,0,0.058,0.036,10.7,1,45.42,
pancakes,86,3.7,0.8,0.9,1.7,10.8,0,2.4,0,22.4,0.2,20.1,0.025,0.082,0.1,0.1,0,0,0,83.2,0.7,100.942,
chocolate donut,250,11.9,3.1,6.8,1.5,34.4,19.2,2.7,1.3,34.2,0.1,9.8,0.078,0.091,0.051,0.041,0,0.1,0.071,127.8,1.4,179.637,
sweet cheese rolls,238,12.1,4,6,1.3,28.8,0,4.7,0.8,50.2,0.2,19.4,0,0.016,0.083,0.1,0,0,0,77.9,0.5,124.9,
eclair,234,19.2,11.5,5.4,1.1,11.2,2,4.4,0.4,121.5,0.1,54.4,0.2,0.1,0.2,0.2,0.04,0.7,0.047,31.5,0.9,68,
donut with cream filling,307,20.8,4.6,10.3,2.6,25.5,12.4,5.4,0.7,20.4,0.3,32.5,0.043,0.3,0.1,0,0,0.2,0.088,21.3,1.6,75.331,
fruit toaster pastry,209,5.6,1.3,3.3,0.7,37.1,14.8,2.4,0.5,0,0.2,5.3,0.2,0.2,0.2,0,0,0.5,0.011,5.6,2,53.4,
donut,192,10.3,2.7,5.7,1.3,22.9,0,2.3,0.7,14.4,0.2,8.8,0.062,0.1,0.026,0.027,0,0,0,27,0.5,63.823,
pancakes whole wheat,92,2.9,0.8,0.8,1.1,12.9,0,3.7,1.2,26.8,0.3,23.2,0.047,0.026,0.2,0.2,0,0,0,110,1.4,132.377,
keikitos,196,10.6,0,0,0,22.3,10.8,2.9,0.5,0,0.2,5.5,0,0,0,0,0,0,0,26.5,1.1,63.9,
zwieback,30,0.7,0.2,0.3,0.1,5.2,0.9,0.7,0.2,0.6,0.05,0.3,0.063,0.031,0,0.01,0.4,0,0.2,0.041,0.083,7.083,
chocolate coated donut,81,4.5,2.4,1.6,0.4,9.2,4.8,0.9,0.3,3.4,0.099,3,0.077,0.078,0.016,0.2,0,0.4,0.04,4.3,0.7,20.16,
waffle toasted,103,3.2,0.5,1.6,0.7,16.3,1.7,2.4,0.8,5,0.2,10.1,0.1,0.2,0.2,0,0,0.3,0.029,101.3,2.3,126.4,
cinnamon toaster pastry,206,7.1,1.8,4,0.9,34.1,0,2.6,0.5,0,0.2,5.4,0.1,0.2,0.3,0.017,0,0,0,17,2,63.489,
wheat bran bread,89,1.2,0.3,0.6,0.2,17.2,3.5,3.2,1.4,0,0.2,13.6,0,0.1,0.1,0,0,0.1,0.069,26.6,1.1,50.7,
white bread,77,1,0.2,0.2,0.5,14.3,1.6,2.6,0.8,0,0.1,10.6,0.022,0,0,0.038,0,0,0.001,0.081,0.04,18.931,
oat bran bread,71,1.3,0.2,0.5,0.5,11.9,2.3,3.1,1.4,0,0.1,13.2,0.09,0.2,0.1,0,0,0.1,0.075,19.5,0.9,38.121,
whole wheat bread natures own,50,1,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
high protein bread dr zaks,152,3,0.5,15.3,2.5,15.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,
wheat bread,79,1.3,0.2,0.2,0.5,13.8,1.7,3.1,1.2,0,0.1,10.2,0.039,0,0,0.062,0.026,0,0.024,0.026,0.066,19.619,
egg bread toasted,117,2.4,0.6,1.1,0.4,19.5,0.7,3.9,0.9,20.7,0.2,10.5,0.096,0.1,0.2,0,0.001,0.1,0.063,37.7,1.2,65.618,
butter toastbrot ja,66,0.9,0.6,12,0.8,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,
vienna bread toasted,93,0.6,0.1,0.1,0.2,18,1,3.8,0.9,0,0.2,6,0,0.1,0.1,0.095,0,0.011,0.063,13.6,1.1,38.073,
vienna bread,92,0.6,0.2,0.1,0.3,18.1,0.8,3.8,0.8,0,0.2,8.9,0,0.1,0.081,0.095,0,0.007,0.076,14.1,1.2,38.633,
protein bread,47,0.4,0.009,0.091,0.2,8.3,0.3,2.3,0.6,0,0.008,7.6,0,0,0.083,0,0,0.003,0.007,23.6,0.8,36,
banana bread,186,6,1.3,2.6,1.8,31.1,0,2.5,0.6,24.5,0.2,16.6,0.068,0.078,0.1,1,0,0,0,12,0.8,54.061,
rice bran bread,66,1.2,0.2,0.4,0.5,11.7,1.3,2.4,1.3,0,0.081,11.1,0,0.2,0.051,0,0,0.2,0.019,18.6,1,36.2,
white fibre wonder bread,95,1,0.2,0.2,0.5,18,2,3.5,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,24,
focaccia,142,4.5,0.5,3.2,0.6,20.4,1,5,1,0,0.3,26.2,0,0.3,0.2,0,0,0.8,0.014,20,1.8,52.7,
oat bran bread toasted,70,1.3,0.2,0.5,0.5,11.8,2.3,3.1,1.3,0,0.1,10.4,0.07,0.1,0.046,0,0,0.1,0.084,19.2,0.9,37.631,
rye bread,83,1.1,0.2,0.4,0.3,15.5,1.2,2.7,1.9,0,0.2,11.9,0,0.1,0.1,0.1,0,0.1,0.063,23.4,0.9,45.6,
wheat germ bread,73,0.8,0.2,0.4,0.2,13.5,1,2.7,0.6,0,0.2,10.4,0,0.1,0.1,0.033,0,0.1,0.09,24.9,1,43.598,
protein bread toasted,46,0.4,0.059,0.082,0.2,8.2,0.2,2.2,0.6,0,0.049,5.8,0,0.036,0.067,0,0,0.069,0.025,23.1,0.8,35.3,
oatmeal bread,73,1.2,0.2,0.4,0.5,13.1,2.2,2.3,1.1,0,0.1,9.9,0.083,0.1,0.025,0,0,0.1,0.058,17.8,0.7,36.227,
arepa,215,5.3,2.8,1.5,1,36.4,0.9,5.4,2.5,4.9,0.3,49.8,0.011,0.021,0.05,0,0,0.3,0.041,87.2,1,137.897,
raisin bread toasted,86,1.4,0.3,0.7,0.2,16.5,1.8,2.5,1.4,0,0.1,8.1,0,0.027,0.1,0.1,0,0.013,0.089,20.9,0.9,43.7,
cracked wheat bread,74,1.1,0.3,0.5,0.2,14,0,2.5,1.6,0,0.2,10.1,0,0.1,0.042,0,0,0,0,12.2,0.8,32.2,
garlic bread,151,7.1,2.3,2,2.3,17.9,1.6,3.6,1.1,0,0.2,13.7,0.067,0.2,0.037,0.095,0.058,0.5,0.012,11.6,1.3,42.646,
rye bread toasted,82,1,0.2,0.4,0.3,15.4,1.2,2.7,1.9,0,0.2,9,0,0.1,0.019,0.047,0,0.1,0.048,23.2,0.9,45.128,
whole wheat bread,128,2.5,0.4,0.5,1.4,23.6,1.8,3.9,2.8,0,0.2,15,0,0.1,0.1,0,0,0.3,0.007,15.2,1.4,49.4,
whole wheat bread toasted,128,2.5,0.4,0.5,1.4,23.7,1.8,3.9,2.8,0,0.2,10.9,0,0.1,0.03,0,0,0.4,0.048,15.1,1.4,49.4,
pan dulce bread,231,7.3,1.4,2.2,1,35.5,7.9,5.9,1.4,18.9,0.1,13.6,0.048,0.2,0.1,0.8,0,0.2,0.049,54.2,1.8,106.92,
rice bran bread toasted,66,1.3,0.2,0.4,0.5,11.8,1.3,2.4,1.3,0,0.026,9,0,0.1,0,0,0,0.2,0.064,18.8,1,36.6,
pita bread whole wheat,74,0.7,0.1,0.053,0.3,15.4,0.2,2.7,2.1,0,0.1,8.6,0,0.083,0.073,0,0,0.2,0.076,4.2,0.9,26,
wheat germ bread toasted,73,0.8,0.2,0.4,0.2,13.6,1,2.7,0.6,0.3,0.2,7.3,0,0.011,0.022,0.03,0,0.1,0.092,25,1,43.706,
pumpernickel bread,65,0.8,0.1,0.2,0.3,12.4,0.1,2.3,1.7,0,0.2,9.9,0,0.034,0.094,0,0,0.1,0.001,17.7,0.7,35.6,
frybread,502,18.6,7,6.7,1.6,73.4,3.1,10.2,0,10.6,0.5,48,0,0.7,0.3,0,0,0,0.058,86.6,6.1,194.9,
white bread toasted,83,1.1,0.2,0.2,0.6,15.4,1.3,2.5,0.7,0.3,0.2,8.6,0,0.1,0.07,0,0,0.014,0.094,33.7,0.9,54.3,
piki bread,109,2,0.2,0.5,0.5,20.2,0.4,2.5,2.6,0,0.028,2.5,0,0.023,0.093,0,0,0.2,0.078,51.5,1.7,80.5,
wheat bread toasted,75,1,0.2,0.2,0.4,13.4,1.5,3.1,1.1,0,0.1,5.8,0,0.1,0.045,0.008,0,0.087,0.086,39.6,1,59.243,
pita bread,165,0.7,0.091,0.038,0.3,33.4,0.8,5.5,1.3,0,0.3,19.3,0,0.4,0.2,0,0,0.2,0.001,51.6,1.6,94.1,
potato bread,85,1,0,0,0,15.1,3,4,2,0,0.1,10.7,0,0.016,0.012,0.084,0,0.024,0.2,0.072,0.072,22.272,
egg bread,115,2.4,0.6,0.9,0.4,19.1,0.7,3.8,0.9,20.4,0.2,13.9,0.095,0.2,0.2,0,0.087,0.1,0.078,37.2,1.2,64.622,
oatmeal bread toasted,73,1.2,0.2,0.4,0.5,13.2,2.2,2.3,1.1,0,0.1,7.8,0.043,0.011,0.086,0.004,0,0.1,0.023,18,0.7,36.622,
cheese bread,196,10,3,2.1,4.4,21.5,1,5,1,4.8,0.4,10.1,0.007,0.2,0.1,0,0.056,0.7,0.035,43.2,1.2,81.937,
pumpernickel bread toasted,80,1,0.1,0.3,0.4,15.1,0.2,2.8,2.1,0,0.2,9.2,0,0.047,0.062,0,0,0.1,0.044,21.5,0.9,43.4,
raisin bread,88,1.4,0.3,0.7,0.2,16.7,1.8,2.5,1.4,0,0.1,10.8,0,0.1,0.1,0.052,0,0.05,0.032,21.1,0.9,44.09,
pumpernickel roll,77,0.8,0.1,0.2,0.3,14.8,0.1,3,1.5,0,0.1,9,0,0.1,0.018,0,0,0.2,0.054,18.8,0.8,39.7,
cinnamon raisin bagel,71,0.4,0.054,0.079,0.2,14.4,1.6,2.5,0.6,0,0.047,8.3,0.098,0.08,0.05,0.2,0,0.022,0.081,4.9,1,24.016,
english muffin,127,1.1,0.2,0.2,0.5,25.5,0.9,5,2.6,0,0.2,24.1,0,0.2,0.2,0,0,0.3,0.094,101.5,1.6,137.3,
rye dinner roll,123,1.5,0.3,0.5,0.3,22.8,0.5,4.4,2.1,0,0.3,12.9,0,0.2,0.1,0,0,0.1,0.028,12.9,1.2,44.9,
english muffin whole wheat,134,1.4,0.2,0.3,0.6,26.7,5.3,5.8,4.4,0,0.2,30.2,0,0.2,0.003,0,0,0.3,0.078,174.9,1.6,214.8,
dinner roll whole wheat,74,1.3,0.2,0.3,0.6,14.3,2.4,2.4,2.1,0,0.1,9.3,0,0.001,0.032,0,0,0.3,0.085,29.7,0.7,50.5,
dinner roll,76,1.8,0.4,0.9,0.3,12.9,0.5,2.4,1.1,0,0.1,10.4,0,0.1,0.071,0,0,0.1,0.074,49.3,1,68.5,
hotdog roll,117,1.6,0.4,0.3,0.7,21.1,3.1,4.1,0.8,0,0.2,14.4,0.004,0.007,0.03,0.048,0.5,0,0.1,0.008,0.095,27.796,
bagel,245,1.5,0,0.3,0.9,47.9,6,10,4,0,0.4,36.8,0,0,0,0.1,0,0,0.3,0.019,0.2,63.783,
oat bran bagel,176,0.8,0.1,0.2,0.3,36.8,1.1,7.4,2.5,0,0.4,22.7,0.031,0.2,0.2,0.1,0,0.2,0.014,8.3,2.1,58.051,
pain au chocolat de la boulangerie,235,12,27.6,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
egg bagel,72,0.5,0.1,0.1,0.2,13.8,0,2.8,0.6,6.2,0.1,8.5,0.012,0.1,0.064,0.2,0,0,0,3.4,1,22.349,
english muffin toasted,140,1.1,0.3,0.2,0.5,27.4,1.8,5.4,1.5,0,0.2,17.1,0,0.3,0.1,0.9,0,0.2,0.002,102.4,2.4,141.1,
english muffin whole wheat toasted,135,1.4,0.2,0.3,0.6,26.9,5.4,5.9,4.5,0,0.2,25,0,0.2,0.045,0,0,0.3,0.047,175.7,1.6,216,
biscuit,357,16.5,4.4,7,4.2,45,2.2,7.1,1.5,3,0.6,29.2,0,0.4,0.3,0.2,0,0,0,237.4,2.9,310.6,
french roll,105,1.6,0.4,0.7,0.3,19.1,0.1,3.3,1.2,0,0.2,13.2,0,0.2,0.1,0,0,0.1,0.088,34.6,1,60.8,
oat bran dinner roll,78,1.5,0.2,0.5,0.5,13.3,2.2,3.1,1.4,0,0.1,14.5,0,0.1,0.082,0,0,0.2,0.045,28.1,1.4,48.8,
pecan shortbread cookies,76,4.6,1.1,2.6,0.6,8.2,0,0.7,0.3,4.6,0.002,0.5,0.078,0.034,0.1,0,0,0,0,4.2,0.3,18.349,
oatmeal cookies,113,4.5,1.1,2.5,0.6,17.2,6.2,1.6,0.7,0,0.1,1.4,0.001,0.003,0.044,0.1,0,0.046,0.07,9.3,0.6,34.069,
chocolate wafers,485,15.9,4.7,5.4,4.7,81.1,33.2,7.4,3.8,2.2,0.8,5,0.089,0.2,0.3,0,0,0.8,0.039,34.7,4.5,147.442,
vanilla wafers low fat,353,12.2,3.1,5.2,3.1,58.9,30,4,1.5,40.8,0.3,4.1,0.037,0.2,0.3,0,0,0.2,0.082,38.4,1.9,116.995,
chocolate chip cookies mcdonalds,136,6.4,3.2,1.7,0.4,18.7,9.6,1.6,0.6,18.4,0.058,1.2,0.003,0.063,0.051,0,0,0.2,0,9.6,1.1,38.09,
gingersnap cookies,29,0.7,0.2,0.4,0.062,5.4,1.4,0.4,0.2,0,0.012,0.4,0,0.026,0.007,0,0,0.07,0.063,5.4,0.4,12.5,
biscotti abbracci mulino bianco,54,2.6,1.6,6.8,2.6,0.8,0.051,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,
chocolate chip cookie,63,2.8,1.4,1,0.3,9.3,5.3,0.5,0.3,0,0.047,1.4,0.013,0,0,0.052,0,0,0.2,0.036,0.049,13.122,
brownie,243,9.8,2.5,5.4,0.4,38.3,22,2.9,1.3,10.2,0.2,8.2,0.02,0.2,0.1,0,0,0.098,0.048,17.4,1.4,71.166,
shortbread cookies,40,1.9,0.5,1.1,0.3,5.2,1.2,0.5,0.1,1.6,0.097,0.3,0.018,0.023,0.023,0,0.01,0.063,0.042,2.8,0.2,10.729,
oatmeal cookies with raisins,65,2.4,0.5,1,0.8,10.3,0,1,0,5,0.022,1,0.096,0.015,0.088,0.078,0,0,0,15,0.4,29.198,
peanut butter sandwich cookies,67,3,0.7,1.6,0.5,9.2,5,1.2,0.3,0,0.098,0.4,0.039,0.017,0.033,0.093,0,0.3,0.1,7.4,0.4,21.624,
sugar cookies,72,3.2,0.8,1.8,0.4,10.2,5.7,0.8,0.1,7.7,0.007,0.7,0.039,0.035,0.03,0.091,0.097,0.073,0.058,3.2,0.3,17.981,
chocolate covered graham crackers,68,3.2,1.8,1.1,0.1,9.3,5.8,0.8,0.4,0,0.067,0.4,0.016,0.017,0.097,0,0,0.062,0.071,8.1,0.5,22.313,
raisin cookies,60,2,0.5,1.1,0.3,10.2,7.1,0.6,0.2,0.3,0.077,2,0.008,0.031,0.082,0.1,0,0.3,0.086,6.9,0.3,20.215,
vanilla wafers,28,1.2,0.3,0.7,0.1,4.3,0,0.3,0.1,0,0.045,0.3,0,0.071,0.057,0,0,0,0,1.5,0.1,7.5,
graham crackers,355,8.5,1.3,3.4,3.2,64.5,26.1,5.8,2.4,0,0.4,3.7,0,0.2,0.3,0,0,0.3,0.084,20.2,3.1,104.5,
peanut butter cookies,95,4.8,0.9,2.2,1.4,11.8,0,1.8,0,6.2,0.1,1.2,0.066,0.044,0.06,0.032,0,0,0,7.8,0.4,26.738,
vanilla sandwich cookie,72,3,0.4,1.3,1.1,10.8,5.9,0.7,0.2,0,0.044,0.3,0,0.096,0.08,0,0,0.2,0.085,4.1,0.3,19.1,
sugar wafers with creme filling,51,2.3,1.2,0.8,0.3,7.1,4.3,0.4,0.2,0,0.06,0.2,0,0.016,0.031,0,0,0.3,0.059,2.7,0.4,13.1,
cheese puffs,197,12.8,1.9,3.8,6.9,18.6,1.1,2.1,0.6,2.5,0.3,0.6,0.012,0.01,0.065,0,0,1.5,0.043,20,0.7,54.854,
saltine crackers,13,0.3,0.097,0.098,0.1,2.2,0.063,0.3,0.022,0,0.067,0.1,0.037,0,0.033,0.062,0,0,0.071,0.059,0.025,3.081,
trail mix,139,8.8,1.7,3.8,2.9,13.5,0,4.1,0,0,0.014,2.8,0,0.1,0.027,0.4,0,0,0,23.4,0.9,51.1,
corn cones,144,7.6,6.4,0.5,0.2,17.8,0,1.6,0.3,0,0.3,0.6,0,0.097,0.032,0,0,0,0,0.8,0.7,28.8,
chocolate pretzels,50,1.8,0.8,0.6,0.2,7.8,0,0.8,0,0,0.037,0.3,0,0.068,0.078,0.076,0,0,0,8.1,0.2,18.726,
french toast sticks,73,3.8,0.9,2.1,0.6,8.9,2.1,1.3,0.3,0,0.001,7.3,0,0.079,0.075,0,0,0.2,0.04,11.4,0.4,26.1,
crackers,82,4.2,0.9,1,2.1,9.8,1.3,1.1,0.4,0,0.1,0.5,0.2,0,0,0.087,0,0,0.5,0.036,0.011,15.764,
sesame sticks,54,3.7,0.6,1.1,1.7,4.7,0.084,1.1,0.3,0,0.09,0.2,0,0.025,0.045,0,0,0.4,0.043,17,0.055,26.81,
cheese crackers,34,1.6,0.4,0.4,0.7,4.2,0.3,0.8,0.2,0.2,0.065,0.2,0.05,0.056,0.028,0.009,0,0,0.2,0.026,0.032,7.053,
oriental rice cracker mix,143,7.2,1.1,2.8,3,14.6,0.8,4.9,3.7,0,0.1,0.7,0,0.033,0.083,0.037,0,1.6,0.068,15.3,0.7,46.416,
breadsticks,103,2.4,0.4,0.9,0.9,17.1,0.3,3,0.8,0,0.2,1.5,0,0.1,0.1,0,0,0.3,0.038,5.5,1.1,29.9,
milk crackers,50,1.7,0.3,0.7,0.6,7.7,1.8,0.8,0.2,1.2,0.095,0.5,0.073,0.078,0.09,0.017,0,0.1,0.016,18.9,0.4,29.845,
matzo crackers whole wheat,98,0.4,0.005,0.019,0.2,22.1,0,3.7,3.3,0,0.002,1.3,0,0.1,0.013,0,0,0,0,6.4,1.3,37.2,
matzo crackers with egg,109,0.6,0.2,0.2,0.1,22,0,3.4,0.8,23.2,0.057,1.8,0.077,0.2,0.2,0.07,0,0,0,11.2,0.8,38.972,
granola bites,23,0.9,0.5,0.2,0.1,3.3,1.5,0.4,0.3,0,0.067,0.4,0,0.044,0.03,0.086,0.044,0,0.1,0.015,0.074,5.042,
crackers whole wheat,120,4,0.6,0.9,1.9,19.5,0.3,3,2.9,0,0.2,0.8,0,0.074,0.011,0,0,0.4,0.075,10.1,0.9,40.4,
tropical trail mix,619,23.9,11.9,3.5,7.2,91.8,0,8.8,0,0,0.1,12.6,0,0.6,0.2,10.6,0,0,0,79.8,3.7,218.6,
soft pretzels,389,3.6,0.8,1.2,1.1,79.8,0.3,9.4,2,3.5,0.9,17.3,0,0.5,0.3,0,0,0.6,0.071,26.5,4.5,125.8,
corn tostada shell,58,2.9,0.9,0.9,1,7.9,0,0.8,0.7,0,0.084,0.4,0,0.08,0.027,0,0,0,0,9.3,0.2,21.8,
matzo crackers,111,0.4,0.03,0.045,0.2,23.4,0.098,2.8,0.8,0,0,1.2,0,0.1,0.013,0,0,0.026,0.047,3.6,0.9,31.9,
sesame crunch,9,0.6,0.096,0.2,0.3,0.9,0.6,0.2,0.1,0,0.027,0.073,0,0.061,0.015,0,0,0.002,0,11.5,0.019,13.351,
trail mix with chocolate chips,707,46.6,8.9,19.8,16.5,65.6,0,20.7,0,5.8,0.2,9.6,0,0.6,0.3,1.9,0,0,0,159.1,4.9,298.8,
cracker meal,440,2,0.3,0.2,0.8,93,0.4,10.7,3,0,0.078,8.7,0,0.8,0.5,0,0,0.5,0.053,26.5,5.3,140.5,
puffed rice,153,0.2,0.037,0,0,34.1,0,2.4,0.6,0,0.053,1.1,0,1,0.7,0,0,0,0,2.3,12,51.6,
filinchen gutena,19,0.2,0.056,3.6,0.031,0.5,0.028,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,
melba toast crackers,117,1,0.1,0.2,0.4,23,0.3,3.6,1.9,0,0.2,1.5,0,0.1,0.071,0,0,0.1,0.029,27.9,1.1,58.5,
matzo crackers with egg onion,109,1.1,0.3,0.3,0.3,21.6,0,2.8,1.4,12.6,0.052,2,0.062,0.2,0.1,0.026,0,0,0,10.1,1.2,38.316,
cornnuts,126,4.4,0.7,2.7,0.9,20.3,0.2,2.4,2,0,0.2,0.4,0,0.024,0.015,0,0,0.6,0.097,2.5,0.5,32.1,
bagel chips,789,26.5,12,10.6,3.6,116.1,10.5,21.6,7.2,0,0.4,8.8,0,0.9,0.6,0,0,1.4,0.031,42,8.8,222.2,
pretzels,115,0.9,0.1,0.2,0.4,24.1,0.7,3,1,0,0.4,0.9,0.037,0,0,0.084,0.6,0,0.1,0.01,0.08,29.214,
potato raw,164,0.2,0.028,0.063,0.071,37.2,1.7,4.3,4.7,0,0.072,169,0,0.2,0.02,42,0,0.059,0.043,25.6,1.7,115.7,
gatto di patate home made,202,9.4,4.6,21,9.4,4,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,
baked potato,161,0.2,0.074,0.086,0.1,36.6,2,4.3,3.8,0,0.097,129.6,0,0,0,0.5,16.6,0,0.034,0.057,0.2,45.667,
potato sticks,188,12.4,3.2,2.2,6.4,19.2,0.006,2.4,1.2,0,0.2,0.8,0,0.041,0.062,17,0,3.3,0.089,6.5,0.8,59.5,
potato cooked,52,0.006,0.003,0.027,0.071,12.1,0.5,1.1,1.2,0,0.035,46.2,0,0.026,0.029,7.8,0,0.043,0.042,3,0.2,25.487,
vivaldi potatoes sainsburys,23,0.1,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
potato ham chowder soup,192,12.5,3.9,5.9,0.8,13.4,0,6.5,1.4,21.6,0.9,204.7,0,0,0,0,0,0,0,0,1.7,35.5,
russet potato raw,292,0.3,0.06,0.061,0.2,66.7,2.3,7.9,4.8,0,0.068,290,0,0.3,0.1,21,0,0.097,0.083,48,3.2,151.9,
russet potato baked,290,0.4,0.1,0.056,0.2,64.1,3.2,7.9,6.9,0,0.084,222.6,0,0.2,0.1,24.8,0,0.2,0.084,53.8,3.2,161.1,
french fries,13,0.4,0.01,0.3,0.067,2.2,0.088,0.2,0.2,0,0.056,5.9,0,0.043,0.042,1.5,0,0.061,0.086,0.8,0.076,5.362,
potato scalloped,216,9,5.5,2.5,0.4,26.4,0,7,4.7,29.4,0.8,198.3,0,0.2,0.2,26,0,0,0,139.7,1.4,214.2,
cottage fries,11,0.4,0.084,0.2,0.055,1.9,0.019,0.2,0.2,0,0.058,4.4,0,0.026,0.086,0.8,0,0.043,0.076,0.9,0.025,4.413,
mashed potatoes,215,6.8,1.4,1.7,3.2,35.5,1.2,4,3.1,0,0.7,192.7,0.079,0.023,0.005,0,0,1,0.078,43.6,0.8,93.836,
mashed potato with milk and butter,237,8.9,5.5,2.2,0.4,35.3,3,3.9,3.2,23.1,0.7,158.8,0.026,0.2,0.069,12.6,0.08,0.3,0.033,50.4,0.5,114.854,
red potato raw,149,0.3,0.074,0.001,0.1,33.9,2.7,4,3.6,0,0.02,172.4,0,0.2,0.06,18.3,0,0.003,0.051,21.3,1.6,83,
potato pancake,59,3.2,0.5,0.8,1.7,6.1,0.4,1.3,0.7,20.9,0.2,10.5,0.098,0.085,0.098,6.1,0.091,0.055,0.024,7,0.4,24.864,
potato puffs,243,11,2.3,7.7,0.6,35.5,0.3,2.6,3.2,0,0.6,76.4,0,0.2,0.049,8.1,0,0.3,0.001,17.9,0.8,79.1,
