food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
safflower seed meal,97,0.7,0.029,0.099,0.4,13.8,0,10.1,0,0,0.006,1.8,0,0.3,0.1,0,0,0,0,21.8,1.4,47.8,97
sesame flour,658,46.4,6.5,17.5,20.3,33.3,0,38.5,0,0,0.041,1.1,0,3.4,0.4,0,0,0,0,198.8,19,336,98
whole grain wheat flour,408,3,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0,0.027,12.9,0,0.6,0.2,0,0,0.9,0.025,40.8,4.3,163.2,99
corn flour yellow,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.04,12.8,0,0.3,0.036,0,0,0.5,0.006,8.2,2.8,122,100
corn flour whole grain,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0,0.033,12.8,0,0.3,0.035,0,0,0.5,0.071,8.2,2.8,122,101
cottonseed flour low fat,94,0.4,0.082,0.046,0.2,10.2,0,14.1,0,0,0.022,2,0,0.6,0.1,0.7,0,0,0,134.1,3.6,163.1,102
sunflower seed flour,13,0.013,0.036,0.059,0.077,1.4,0,1.9,0.2,0,0.073,0.3,0,0.1,0.006,0.003,0,0,0,4.6,0.3,8.557,103
sesame meal,160,13.6,1.9,5.1,6,7.4,0,4.8,0,0,0.073,1.4,0,0.7,0.094,0,0,0,0,43.3,4.1,73.2,104
acorn flour,626,37.7,4.9,23.9,7.3,68.3,0,9.4,0,0,0,7.5,0,0.2,0.2,0,0,0,0,53.8,1.5,170.7,105
rice flour white,578,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0,0,18.8,0,0.2,0.014,0,0,0.2,0,15.8,0.6,158.4,106
sesame flour low fat,94,0.5,0.011,0.2,0.2,10,0,14.2,0,0,0.072,2,0,0.7,0.092,0,0,0,0,42.2,4,70.9,107
potato flour,571,0.5,0.1,0.063,0.2,133,5.6,11,9.4,0,0.042,10.4,0,0,0,1.2,6.1,0,0.4,0,0.3,155.4,108
cornmeal yellow,581,2.7,0.3,0.5,1,124.7,2.5,11.2,6.1,0,0.011,17.6,0,0.2,0.085,0,0,0.2,0,4.7,1.7,151.1,109
rye flour,364,1.4,0.2,0.2,0.6,78.2,0.9,10,8.2,0,0.061,11.6,0,0.3,0.068,0,0,0.8,0.079,13.3,0.9,112,110
arrowroot flour,457,0.1,0.019,0.088,0.036,112.8,0,0.4,4.4,0,0.002,14.6,0,0.013,0,0,0,0,0,51.2,0.4,169.3,111
chickpea flour,356,6.2,0.6,1.4,2.7,53.2,10,20.6,9.9,0,0.05,9.5,0,0.4,0.037,0,0,0.8,0.003,41.4,4.5,135.8,112
wheat flour,455,1.2,0.2,0.1,0.5,95.4,0.3,12.9,3.4,0,0.061,14.9,0,1,0.6,0,0,0.095,0.051,18.8,5.8,137.5,113
cornstarch,488,0.03,0.077,0.046,0.012,116.8,0,0.3,1.2,0,0.093,10.6,0,0,0,0,0,0,0,2.6,0.6,121.535,114
carob flour,13,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0,0.033,0.2,0,0.09,0.079,0.088,0,0.046,0,20.9,0.2,29.18,115
buckwheat flour,402,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12,0,0.033,13.4,0,0.5,0.2,0,0,0.4,0.044,49.2,4.9,169.6,116
pecan pie,503,27.1,4.9,13.6,7,63.7,0,6,0,106.1,0.3,23.8,0.046,0.2,0.2,0.2,0,0,0,39,1.8,137.891,117
apple pie,331,15.6,3.8,6.7,4.2,46.4,0,3,0,0,0.3,59.1,0.078,0.2,0.1,2.1,0,0,0,8.8,1.4,77.358,118
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15,0.4,0.3,0.4,0.2,0.059,5.4,0.028,73.9,2.9,236.2,119
chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0,0.9,9.1,0,0.6,0.5,0,0,3.3,0.078,58.2,7.8,240.2,120
